 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
151.25.133.153 - - [05/Nov/2017 19:59:39] "GET / HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 19:59:40] "GET /favicon.ico HTTP/1.1" 404 -
151.25.133.153 - - [05/Nov/2017 20:00:09] "GET / HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:00:09] "GET /assets/demo_data/dashboard/monthly_sales.json HTTP/1.1" 404 -
151.25.133.153 - - [05/Nov/2017 20:00:10] "GET /assets/demo_data/dashboard/monthly_sales.json HTTP/1.1" 404 -
151.25.133.153 - - [05/Nov/2017 20:00:11] "GET / HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:00:11] "GET /assets/demo_data/dashboard/monthly_sales.json HTTP/1.1" 404 -
151.25.133.153 - - [05/Nov/2017 20:00:12] "GET /assets/demo_data/dashboard/monthly_sales.json HTTP/1.1" 404 -
151.25.133.153 - - [05/Nov/2017 20:02:48] "GET / HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:02:49] "GET /assets/demo_data/dashboard/monthly_sales.json HTTP/1.1" 404 -
151.25.133.153 - - [05/Nov/2017 20:03:22] "GET / HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:03:23] "GET /static/assets/css/icons/icomoon/styles.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:03:23] "GET /static/assets/css/components.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:03:24] "GET /static/assets/css/bootstrap.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:03:24] "GET /static/assets/js/plugins/ui/nicescroll.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:03:24] "GET /static/assets/js/plugins/visualization/d3/d3.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:03:24] "GET /static/assets/js/plugins/forms/styling/uniform.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:03:24] "GET /static/assets/js/plugins/ui/moment/moment.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:03:24] "GET /static/assets/js/elezioni_chart.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:03:25] "GET /static/assets/demo_data/dashboard/monthly_sales.json HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:03:31] "GET / HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:15] "GET / HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:16] "GET /static/assets/css/icons/icomoon/styles.css HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:16] "GET /static/assets/css/bootstrap.css HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:19] "GET /static/assets/css/components.css HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:25] "GET /static/assets/css/core.css HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:27] "GET /static/assets/css/colors.css HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:28] "GET /static/assets/js/plugins/loaders/pace.min.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:28] "GET /static/assets/js/core/libraries/jquery.min.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:30] "GET /static/assets/js/core/libraries/bootstrap.min.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:31] "GET /static/assets/js/plugins/loaders/blockui.min.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:31] "GET /static/assets/js/plugins/ui/nicescroll.min.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:32] "GET /static/assets/js/plugins/ui/drilldown.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:32] "GET /static/assets/js/plugins/ui/fab.min.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:32] "GET /static/assets/js/plugins/visualization/d3/d3.min.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:38] "GET /static/assets/js/plugins/visualization/d3/d3_tooltip.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:38] "GET /static/assets/js/plugins/forms/styling/switchery.min.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:38] "GET /static/assets/js/plugins/forms/styling/uniform.min.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:38] "GET /static/assets/js/plugins/forms/selects/bootstrap_multiselect.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:40] "GET /static/assets/js/plugins/ui/moment/moment.min.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:41] "GET /static/assets/js/plugins/pickers/daterangepicker.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:42] "GET /static/assets/js/core/app.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:42] "GET /static/assets/js/elezioni_chart.js HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:43] "GET /static/assets/images/matteo_renzi_48581.jpg HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:46] "GET /static/assets/css/icons/icomoon/fonts/icomoon.woff?3p0rtw HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:49] "GET /static/assets/demo_data/dashboard/monthly_sales.json HTTP/1.1" 200 -
5.170.78.172 - - [05/Nov/2017 20:06:50] "GET /favicon.ico HTTP/1.1" 404 -
5.170.78.172 - - [05/Nov/2017 20:07:01] "GET / HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 20:16:39] "GET /favicon.ico HTTP/1.1" 404 -
151.25.133.153 - - [05/Nov/2017 20:25:37] "GET / HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:50] "GET / HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:50] "GET /static/assets/css/icons/icomoon/styles.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:50] "GET /static/assets/css/bootstrap.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:50] "GET /static/assets/css/core.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:50] "GET /static/assets/css/components.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/css/colors.css HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/loaders/pace.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/core/libraries/jquery.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/core/libraries/bootstrap.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/loaders/blockui.min.js HTTP/1.1" 200 -
151.25.133.153 - - [05/Nov/2017 21:21:51] "GET /static/assets/js/plugins/ui/nicescroll.min.js HTTP/1.1" 200 -
